time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.920297,-0.0047,-0.0450,-0.0078,0.046
4.930358,0.0050,-0.0055,0.0215,0.023
4.940470,0.0241,-0.0054,0.0019,0.025
4.950714,0.0140,-0.0439,0.0117,0.048
4.960227,0.0042,-0.0046,0.0215,0.022
4.970169,0.0041,-0.0334,0.0116,0.036
4.980179,0.0039,-0.0135,-0.0079,0.016
4.990317,-0.0251,-0.0037,-0.0177,0.031
5.000164,-0.0055,0.0156,0.0116,0.020
5.010343,0.0138,0.0154,0.0116,0.024
5.020331,-0.0057,-0.0040,-0.0275,0.028
5.030278,-0.0245,0.0055,0.0018,0.025
5.040248,-0.0143,0.0054,-0.0079,0.017
5.050752,-0.0140,0.0053,0.0116,0.019
5.060202,0.0053,-0.0042,-0.0079,0.010
5.070199,0.0246,0.0055,0.0116,0.028
5.080280,-0.0046,-0.0042,0.0116,0.013
5.090283,-0.0043,-0.0041,0.0018,0.006
5.100175,-0.0042,-0.0138,-0.0275,0.031
5.110373,0.0054,0.0247,0.0018,0.025
5.121045,0.0149,-0.0236,0.0116,0.030
5.130351,0.0433,-0.0135,-0.0079,0.046
5.140311,0.0041,-0.0037,0.0410,0.041
5.150323,0.0135,-0.0132,0.0018,0.019
5.160499,0.0132,0.0252,0.0019,0.029
5.170327,0.0224,-0.0040,0.0019,0.023
5.180312,-0.0260,0.0249,0.0117,0.038
5.190296,0.0226,0.0244,0.0117,0.035
5.200421,-0.0162,0.0143,-0.0176,0.028
5.210495,0.0129,-0.0051,-0.0176,0.022
5.220318,-0.0066,0.0045,-0.0176,0.019
5.230291,-0.0065,0.0044,-0.0274,0.029
5.240255,-0.0256,-0.0149,-0.0176,0.034
5.250365,-0.0250,-0.0147,0.0117,0.031
5.260331,0.0141,0.0046,-0.0275,0.031
5.270172,0.0140,-0.0051,-0.0275,0.031
5.280115,0.0237,-0.0050,-0.0471,0.053
5.290286,-0.0151,0.0240,-0.0176,0.033
5.300122,-0.0052,0.0237,0.0117,0.027
5.310270,-0.0052,0.0137,-0.0176,0.023
5.320933,0.0141,-0.0154,0.0117,0.024
5.330329,-0.0053,-0.0055,0.0117,0.014
5.340268,-0.0341,0.0042,0.0117,0.036
5.350319,-0.0142,0.0041,0.0116,0.019
5.360227,-0.0044,-0.0151,0.0214,0.027
5.370524,-0.0043,0.0045,0.0116,0.013
5.380062,0.0148,0.0045,0.0018,0.016
5.390221,0.0049,-0.0339,0.0116,0.036
5.400186,0.0241,-0.0043,0.0116,0.027
5.410266,-0.0148,-0.0041,0.0116,0.019
5.421020,0.0142,0.0055,0.0214,0.026
